Gene ID	Gene Symbol	Label IDs	Label Names
PA267	ABCB1	PA166123409;PA166159586	Annotation of EMA Label for aliskiren and ABCB1;Annotation of HCSC Label for aliskiren and ABCB1
PA374	ABCB11	PA166269742;PA166268902	Annotation of EMA Label for odevixibat and ABCB11;Annotation of FDA Label for odevixibat and ABCB11
PA390	ABCG2	PA166184427;PA166184499	Annotation of Swissmedic Label for ezetimibe / rosuvastatin and ABCG2, SLCO1B1;Annotation of Swissmedic Label for rosuvastatin and ABCG2, SLCO1B1
PA36144	ABI1	PA166127660;PA166127682;PA166127693;PA166129527	Annotation of HCSC Label for dasatinib and ABI1, BCR;Annotation of HCSC Label for imatinib and ABI1, BCR, FIP1L1, KIT, PDGFRA, PDGFRB;Annotation of HCSC Label for nilotinib and ABI1, BCR;Annotation of HCSC Label for ponatinib and ABI1, BCR
PA24413	ABL1	PA166117941;PA166104914;PA166104926;PA166105334;PA166122067;PA166268861;PA166159963;PA166114907;PA166104795;PA166104781;PA166114930;PA166104790;PA166177512;PA166104842;PA166114931;PA166182755;PA166273981;PA166127641;PA166123537;PA166123542	Annotation of EMA Label for bosutinib and ABL1, BCR;Annotation of EMA Label for dasatinib and ABL1, BCR;Annotation of EMA Label for imatinib and ABL1, BCR, FIP1L1, KIT, PDGFRA, PDGFRB;Annotation of EMA Label for nilotinib and ABL1, BCR;Annotation of EMA Label for ponatinib and ABL1, BCR;Annotation of FDA Label for asciminib and ABL1, BCR;Annotation of FDA Label for blinatumomab and ABL1, BCR, CD19;Annotation of FDA Label for bosutinib and ABL1, BCR;Annotation of FDA Label for busulfan and ABL1, BCR;Annotation of FDA Label for dasatinib and ABL1, BCR;Annotation of FDA Label for homoharringtonine and ABL1, BCR;Annotation of FDA Label for imatinib and ABL1, BCR, FIP1L1, KIT, PDGFRA, PDGFRB;Annotation of FDA Label for inotuzumab ozogamicin and ABL1, BCR;Annotation of FDA Label for nilotinib and ABL1, BCR;Annotation of FDA Label for ponatinib and ABL1, BCR;Annotation of FDA Label for vincristine and ABL1, BCR;Annotation of HCSC Label for asciminib and ABL1, BCR;Annotation of HCSC Label for bosutinib and ABL1, BCR;Annotation of PMDA Label for dasatinib and ABL1, BCR;Annotation of PMDA Label for imatinib and ABL1, BCR
PA39	ADRB2	PA166104779	Annotation of EMA Label for indacaterol and ADRB2
PA24622	AGPAT2	PA166273381	Annotation of EMA Label for metreleptin and AGPAT2, BSCL2, LEP, LMNB2
PA24633	AGXT	PA166273441;PA166235361;PA166283221	Annotation of EMA Label for lumasiran and AGXT;Annotation of FDA Label for lumasiran and AGXT;Annotation of HCSC Label for lumasiran and AGXT
PA24681	AKR1D1	PA166182940;PA166160056	Annotation of EMA Label for cholic acid and AKR1D1, HSD3B7;Annotation of FDA Label for cholic acid and AKR1D1, AMACR, CYP27A1, CYP7A1, DHCR7, HSD3B2
PA24702	ALDH5A1	PA166272841;PA166236001;PA166278561	Annotation of EMA Label for sodium oxybate and ALDH5A1;Annotation of FDA Label for sodium oxybate and ALDH5A1;Annotation of HCSC Label for sodium oxybate and ALDH5A1
PA24719	ALK	PA166182924;PA166182931;PA166278421;PA166129449;PA166104909;PA166273521;PA166183184;PA166273301;PA166183249;PA166160051;PA166163429;PA166104778;PA166169878;PA166251421;PA166124617;PA166104859;PA166169884;PA166191581;PA166182744;PA166191561;PA166160009;PA166296341;PA166184560;PA166252901;PA166293341;PA166286181;PA166229941;PA166278442;PA166129526;PA166127655;PA166283821;PA166284721;PA166284642;PA166123536	Annotation of EMA Label for alectinib and ALK;Annotation of EMA Label for brigatinib and ALK;Annotation of EMA Label for cemiplimab-rwlc and ALK, CD274, EGFR, ROS1;Annotation of EMA Label for ceritinib and ALK;Annotation of EMA Label for crizotinib and ALK, ROS1;Annotation of EMA Label for ipilimumab and ALK, CD274, EGFR;Annotation of EMA Label for lorlatinib and ALK;Annotation of EMA Label for nivolumab and ALK, CD274, EGFR, ERBB2;Annotation of EMA Label for pembrolizumab and ALK, CD274, EGFR, ERBB2;Annotation of FDA Label for alectinib and ALK;Annotation of FDA Label for atezolizumab and ALK, BRAF, CD274, EGFR;Annotation of FDA Label for brentuximab vedotin and ALK;Annotation of FDA Label for brigatinib and ALK;Annotation of FDA Label for cemiplimab-rwlc and ALK, CD274, EGFR, ROS1;Annotation of FDA Label for ceritinib and ALK;Annotation of FDA Label for crizotinib and ALK, ROS1;Annotation of FDA Label for durvalumab and ALK, CD274, EGFR, PDCD1;Annotation of FDA Label for ipilimumab and ALK, CD274, EGFR;Annotation of FDA Label for lorlatinib and ALK;Annotation of FDA Label for nivolumab and ALK, CD274, EGFR;Annotation of FDA Label for pembrolizumab and ALK, CD274, EGFR, ERBB2;Annotation of FDA Label for pemetrexed and ALK, EGFR;Annotation of FDA Label for ramucirumab and ALK, EGFR;Annotation of FDA Label for tepotinib and ALK, EGFR;Annotation of FDA Label for tremelimumab and ALK, EGFR;Annotation of HCSC Label for alectinib and ALK;Annotation of HCSC Label for atezolizumab and ALK, CD274, EGFR;Annotation of HCSC Label for cemiplimab-rwlc and ALK, CD274, EGFR, ROS1;Annotation of HCSC Label for ceritinib and ALK;Annotation of HCSC Label for crizotinib and ALK;Annotation of HCSC Label for ipilimumab and ALK, CD274, EGFR;Annotation of HCSC Label for nivolumab and ALK, CD274, EGFR, ERBB2;Annotation of HCSC Label for pembrolizumab and ALK, CD274, EGFR, ERBB2;Annotation of PMDA Label for crizotinib and ALK
PA24757	AMACR	PA166160056	Annotation of FDA Label for cholic acid and AKR1D1, AMACR, CYP27A1, CYP7A1, DHCR7, HSD3B2
PA24796	ANGPTL3	PA166283981	Annotation of EMA Label for evinacumab and ANGPTL3, LDLR
PA50	APOB	PA166273581;PA166121250;PA166273561;PA166114923;PA166283901	Annotation of EMA Label for inclisiran and APOB, LDLR, PCSK9;Annotation of EMA Label for lomitapide and APOB, LDLR, PCSK9;Annotation of FDA Label for inclisiran and APOB, LDLR, PCSK9;Annotation of FDA Label for lomitapide and APOB, LDLR, PCSK9;Annotation of HCSC Label for inclisiran and APOB, LDLR, PCSK9
PA55	APOE	PA166104866	Annotation of FDA Label for pravastatin and APOE
PA24922	AQP4	PA166273541;PA166272761;PA166224221;PA166224961;PA166236241;PA166278621	Annotation of EMA Label for inebilizumab-cdon and AQP4;Annotation of EMA Label for satralizumab and AQP4;Annotation of FDA Label for eculizumab and AQP4, CHRNA1, CHRNA3, CHRNA4, CHRNA5, CHRNA6, CHRNA7, CHRNB1, CHRNE;Annotation of FDA Label for inebilizumab-cdon and AQP4;Annotation of FDA Label for satralizumab and AQP4, IL6R;Annotation of HCSC Label for satralizumab and AQP4
PA24947	ARG1	PA166269701;PA166104794;PA166283881	Annotation of EMA Label for glycerol phenylbutyrate and ARG1, ASL, ASS1, CPS1, OTC;Annotation of FDA Label for sodium benzoate / sodium phenylacetate and ARG1, ASL, ASS1, CPS1, NAGS, OTC;Annotation of HCSC Label for glycerol phenylbutyrate and ARG1, ASL, ASS1, CPS1, OTC
PA25046	ASL	PA166269701;PA166104794;PA166283881	Annotation of EMA Label for glycerol phenylbutyrate and ARG1, ASL, ASS1, CPS1, OTC;Annotation of FDA Label for sodium benzoate / sodium phenylacetate and ARG1, ASL, ASS1, CPS1, NAGS, OTC;Annotation of HCSC Label for glycerol phenylbutyrate and ARG1, ASL, ASS1, CPS1, OTC
PA162376926	ASS1	PA166269701;PA166114381;PA166269101;PA166104794;PA166114317;PA166283881;PA166127712	Annotation of EMA Label for glycerol phenylbutyrate and ARG1, ASL, ASS1, CPS1, OTC;Annotation of EMA Label for sodium phenylbutyrate and ASS1, CPS1, OTC;Annotation of FDA Label for glycerol phenylbutyrate and ASS1, CPS1, OTC;Annotation of FDA Label for sodium benzoate / sodium phenylacetate and ARG1, ASL, ASS1, CPS1, NAGS, OTC;Annotation of FDA Label for sodium phenylbutyrate and ASS1, CPS1, OTC;Annotation of HCSC Label for glycerol phenylbutyrate and ARG1, ASL, ASS1, CPS1, OTC;Annotation of HCSC Label for sodium phenylbutyrate and ASS1, CPS1, OTC
PA25294	BCHE	PA166185156;PA166184637;PA166122970;PA166283201;PA166127713;PA166183881	Annotation of FDA Label for mivacurium and BCHE;Annotation of FDA Label for oxymetazoline and tetracaine and BCHE, CYB5R3, G6PD;Annotation of FDA Label for succinylcholine and BCHE, CACNA1S, RYR1;Annotation of HCSC Label for mivacurium and BCHE;Annotation of HCSC Label for succinylcholine and BCHE;Annotation of Swissmedic Label for mivacurium and BCHE
PA25321	BCR	PA166117941;PA166104914;PA166104926;PA166105334;PA166122067;PA166268861;PA166159963;PA166114907;PA166104795;PA166104781;PA166114930;PA166104790;PA166177512;PA166104842;PA166114931;PA166182755;PA166273981;PA166127641;PA166127660;PA166127682;PA166127693;PA166129527;PA166123537;PA166123542	Annotation of EMA Label for bosutinib and ABL1, BCR;Annotation of EMA Label for dasatinib and ABL1, BCR;Annotation of EMA Label for imatinib and ABL1, BCR, FIP1L1, KIT, PDGFRA, PDGFRB;Annotation of EMA Label for nilotinib and ABL1, BCR;Annotation of EMA Label for ponatinib and ABL1, BCR;Annotation of FDA Label for asciminib and ABL1, BCR;Annotation of FDA Label for blinatumomab and ABL1, BCR, CD19;Annotation of FDA Label for bosutinib and ABL1, BCR;Annotation of FDA Label for busulfan and ABL1, BCR;Annotation of FDA Label for dasatinib and ABL1, BCR;Annotation of FDA Label for homoharringtonine and ABL1, BCR;Annotation of FDA Label for imatinib and ABL1, BCR, FIP1L1, KIT, PDGFRA, PDGFRB;Annotation of FDA Label for inotuzumab ozogamicin and ABL1, BCR;Annotation of FDA Label for nilotinib and ABL1, BCR;Annotation of FDA Label for ponatinib and ABL1, BCR;Annotation of FDA Label for vincristine and ABL1, BCR;Annotation of HCSC Label for asciminib and ABL1, BCR;Annotation of HCSC Label for bosutinib and ABL1, BCR;Annotation of HCSC Label for dasatinib and ABI1, BCR;Annotation of HCSC Label for imatinib and ABI1, BCR, FIP1L1, KIT, PDGFRA, PDGFRB;Annotation of HCSC Label for nilotinib and ABI1, BCR;Annotation of HCSC Label for ponatinib and ABI1, BCR;Annotation of PMDA Label for dasatinib and ABL1, BCR;Annotation of PMDA Label for imatinib and ABL1, BCR
